session_id,item_id
1,214536502
1,214536500
1,214536506
1,214577561
2,214662742
2,214662742
2,214825110
2,214757390
2,214757407
2,214551617
3,214716935
3,214774687
3,214832672
4,214836765
4,214706482
6,214701242
6,214826623
7,214826835
7,214826715
8,214838855
8,214838855
9,214576500
9,214576500
9,214576500
13,214836761
13,214684513
13,214836761
14,214577732
14,214587013
14,214577732
16,214684093
16,214684093
16,214684093
17,214826897
17,214820441
18,214577732
18,214577732
19,214561790
19,214561790
19,214611457
19,214611457
22,214837485
22,214837485
22,214837485
22,214837487
22,214837487
22,214821315
22,214586711
22,214821305
22,214821307
22,214844357
22,214821341
22,214821309
22,214551617
22,214551617
22,214612920
22,214837487
23,214718203
23,214718203
23,214718203
23,214718203
24,214613743
24,214613743
24,214539110
24,214539110
26,214579288
26,214714790
26,214676070
26,214601407
27,214827028
27,214827017
27,214537796
27,214840762
27,214707930
27,214707930
27,214585652
27,214536197
27,214536195
27,214646169
28,214836789
28,214836789
28,214710804
29,214532036
29,214700432
31,214537967
31,214537967
32,214835257
32,214835265
34,214718246
34,214826835
36,214551594
36,214586970
37,214826769
37,214537967
38,214652878
38,214716737
38,214652878
39,214684721
39,214680356
41,214821277
41,214821277
41,214821277
41,214821277
41,214821277
42,214819745
42,214819745
43,214691587
43,214587915
44,214820441
44,214826897
44,214826702
44,214684513
44,214838100
44,214544357
44,214551626
44,214691484
47,214712235
47,214581489
47,214602605
48,214695307
48,214695305
48,214538317
48,214677448
49,214698491
49,214523692
51,214545935
51,214819438
51,214839907
51,214835917
51,214836210
52,214716982
52,214716984
53,214544355
53,214601212
53,214601212
53,214601212
54,214819468
54,214716977
54,214716977
54,214716977
54,214716977
54,214716939
56,214832557
56,214559660
56,214559660
56,214819520
56,214586540
57,214717318
57,214717318
58,214515834
58,214515830
59,214844248
59,214844248
61,214709645
61,214709645
61,214709645
61,214709645
61,214709645
62,214714794
62,214601407
62,214826619
62,214746427
62,214821300
62,214717562
62,214826927
62,214748334
62,214826908
62,214800262
63,214587797
63,214835775
63,214844109
64,214662975
64,214537779
64,214840762
66,214821277
66,214821277
66,214821277
67,214748300
67,214748293
68,214532072
68,214532070
69,214827022
69,214840419
71,214716984
71,214832657
72,214821285
72,214821285
72,214826801
72,214826801
73,214826705
73,214826705
74,214668590
74,214826872
76,214826955
76,214826606
76,214687642
77,214832559
77,214832559
77,214832559
77,214821017
77,214821017
77,214572234
77,214826715
77,214826715
78,214509135
78,214536853
78,214509133
78,214509135
78,214509135
78,214509135
78,214717877
78,214826615
78,214678477
78,214716982
79,214819472
79,214687685
81,214560099
81,214560099
81,214560099
81,214832750
81,214560099
82,214685621
82,214684093
82,214546097
82,214685623
83,214572264
84,214708044
86,214648475
86,214648340
86,214648438
86,214648455
86,214712936
86,214712887
86,214696149
86,214717097
86,214534352
86,214534352
86,214717097
88,214840599
88,214835735
89,214555869
89,214537185
91,214838100
91,214706216
92,214717007
92,214717003
92,214716928
93,214819685
93,214839907
93,214839905
93,214811752
94,214820842
94,214819490
96,214841060
96,214841060
97,214687768
97,214706445
98,214821380
98,214821380
99,214826799
99,214827005
99,214718390
99,214718396
99,214826627
101,214712272
101,214820450
102,214829737
102,214821315
104,214829741
104,214820842
104,214821279
104,214703790
106,214554358
106,214716950
107,214821275
107,214829741
108,214594678
108,214594680
108,214594680
109,214821369
109,214821369
109,214697771
109,214697512
109,214697413
109,214697409
109,214652409
109,214537127
109,214537127
109,214820237
109,214820237
109,214709645
109,214699213
109,214820237
109,214820237
109,214820237
109,214709645
109,214537127
111,214811752
111,214811754
112,214536440
112,214536437
113,214717847
113,214819719
113,214748336
114,214826702
114,214821275
116,214821315
116,214821305
117,214684721
117,214821369
117,214826833
117,214819472
118,214821022
118,214820814
119,214716954
119,214838366
121,214705693
121,214696824
121,214705682
121,214696817
121,214705691
121,214705693
121,214711710
121,214705691
121,214705691
121,214687539
121,214705687
121,214744796
121,214681648
121,214717307
121,214577750
121,214650382
121,214744796
121,214696817
121,214705682
121,214711710
122,214600989
122,214704180
123,214510044
123,214510044
123,214510044
123,214582387
123,214537535
123,214584812
123,214537535
123,214584810
124,214826705
124,214826705
126,214839313
126,214839313
126,214839313
127,214512416
127,214512416
128,214826623
128,214826615
129,214841060
129,214841060
129,214840378
129,214826955
129,214821275
129,214829285
131,214819719
131,214791688
131,214819472
132,214821377
132,214820201
133,214826810
133,214826810
134,214587650
134,214535617
134,214535595
134,214587650
136,214840762
136,214586983
137,214821013
137,214821013
137,214572182
137,214572182
139,214820441
139,214826623
141,214821275
141,214827032
142,214595893
142,214595889
143,214843370
143,214843370
143,214843370
144,214821022
144,214718169
144,214821024
144,214601233
144,214545500
144,214545455
144,214545440
144,214545455
146,214820252
146,214582502
146,214836802
146,214672963
147,214821020
147,214829282
148,214684093
148,214684093
148,214684093
149,214681104
149,214511092
151,214586825
152,214534453
153,214573312
153,214573312
153,214829257
153,214834987
154,214826810
154,214840419
154,214840419
154,214560187
154,214716984
156,214585397
156,214585397
157,214821339
157,214844357
158,214821020
158,214819547
158,214819547
158,214821024
158,214718160
158,214829282
159,214551626
159,214821279
161,214709645
161,214820225
162,214589518
162,214576665
163,214674568
163,214645316
163,214536860
163,214639177
163,214820261
164,214697690
164,214646349
164,214646250
166,214532623
166,214557206
166,214826897
166,214826801
166,214576500
167,214709792
167,214717046
168,214837378
168,214828850
168,214828850
169,214554358
169,214678916
171,214706432
171,214708305
171,214587013
172,214828867
172,214743497
172,214821392
173,214839313
173,214840001
174,214820942
174,214684093
176,214565623
176,214557236
177,214820387
177,214827035
178,214716935
178,214716932
178,214716932
179,214532070
179,214821285
179,214711333
179,214691604
183,214552243
183,214552464
184,214840762
184,214575088
184,214550259
186,214685795
186,214630042
187,214553735
187,214677969
187,214553735
187,214586874
187,214587937
187,214586874
187,214589600
188,214717007
188,214716928
191,214839373
191,214836765
191,214838100
192,214687685
192,214556840
192,214601042
192,214691484
193,214829282
193,214829282
194,214821397
194,214821397
194,214821397
194,214821397
196,214826874
196,214826874
196,214821399
196,214826874
198,214826803
198,214826803
198,214826803
199,214819552
199,214820938
199,214821380
201,214827020
201,214821272
202,214835561
202,214835561
203,214821367
203,214584808
203,214836761
203,214826893
203,214839849
204,214826837
204,214819430
206,214820456
206,214820456
207,214826900
207,214826900
207,214664919
207,214826900
208,214821024
208,214587384
208,214718203
208,214832557
209,214827022
209,214836341
211,214652422
211,214567410
211,214567404
212,214821290
212,214821290
212,214585395
212,214826700
212,214826700
212,214826801
212,214691366
212,214821377
212,214567410
212,214643657
212,214826608
212,214684513
212,214829312
212,214685795
212,214829312
212,214821298
213,214586842
214,214586842
217,214540035
217,214577711
217,214708239
217,214517880
217,214577711
217,214578007
217,214819725
217,214819815
218,214601462
218,214746386
219,214708404
219,214708406
219,214725500
219,214839660
219,214833714
219,214714817
221,214821022
221,214819550
221,214826627
222,214669730
222,214836281
223,214821300
223,214690110
223,214753515
224,214826803
224,214821285
224,214826803
224,214820383
224,214826801
226,214820938
226,214821037
227,214829285
227,214826702
228,214631008
228,214839995
228,214839313
229,214539039
229,214539084
231,214586711
231,214684160
232,214717003
233,214716928
233,214717003
234,214839313
234,214839313
234,214839995
236,214833802
236,214820842
237,214833802
237,214843382
237,214843385
237,214843387
237,214842420
237,214843477
237,214843955
237,214843950
237,214843494
237,214844310
237,214696802
237,214840599
238,214717007
238,214717005
238,214717005
239,214820192
239,214844297
239,214699301
241,214561991
241,214561991
241,214820938
242,214839870
242,214839866
242,214705787
243,214819811
244,214819811
244,214517880
246,214540035
246,214819798
247,214821277
248,214820231
249,214819385
249,214819378
249,214710090
249,214820938
249,214821022
251,214744779
251,214743341
251,214744779
251,214820456
252,214820842
252,214840378
252,214705100
254,214695345
254,214701302
254,214701287
254,214695386
254,214696352
256,214826998
256,214826998
256,214748334
256,214826934
257,214821277
257,214821290
257,214821307
258,214842446
258,214691602
258,214842446
258,214842446
258,214691600
258,214691597
258,214842446
258,214842442
258,214691604
259,214819490
259,214828987
259,214684845
259,214826912
261,214692791
261,214697990
261,214611283
262,214508942
262,214716982
262,214716984
262,214509013
262,214842290
262,214840762
262,214842287
262,214820441
263,214561475
263,214532147
263,214539532
263,214511375
264,214826955
264,214826623
264,214827000
264,214811739
264,214650626
264,214650626
264,214827005
264,214834865
264,214577518
266,214684513
266,214684513
267,214840541
267,214587508
267,214551581
268,214839313
268,214602774
269,214820182
269,214820192
269,214820182
269,214820225
269,214820237
271,214826816
271,214826705
271,214826816
271,214826705
271,214826816
272,214586722
272,214826897
272,214681091
273,214556270
273,214821339
273,214554384
273,214694139
274,214745317
274,214745317
276,214819410
276,214700752
278,214820385
278,214820385
279,214601233
279,214716932
279,214716930
279,214716932
281,214820402
281,214820400
282,214706102
282,214800272
283,214821275
283,214833800
284,214839311
284,214820387
284,214819472
284,214819740
286,214832557
286,214717888
287,214607143
287,214640394
287,214607143
287,214640394
287,214607143
288,214716935
288,214716932
288,214582950
289,214676387
289,214676387
292,214717888
292,214838503
292,214685784
292,214684513
294,214510854
294,214510854
294,214672963
294,214510854
294,214702811
294,214510854
294,214537455
294,214510854
296,214696434
296,214696434
296,214696434
297,214582942
297,214582942
298,214508942
298,214753659
299,214717007
299,214838368
299,214716937
301,214826912
301,214826912
301,214834865
301,214834865
302,214820218
302,214547600
303,214718169
303,214821024
304,214510044
304,214582387
304,214510044
306,214826705
306,214826816
307,214594637
307,214684513
307,214602821
307,214594637
308,214602268
308,214602268
308,214602268
309,214826801
309,214836761
309,214820255
311,214574777
311,214700992
311,214700990
312,214826900
312,214842577
313,214826617
313,214826715
314,214576500
314,214839313
314,214820195
314,214709634
314,214699301
316,214545935
316,214820231
317,214826955
317,214826955
318,214821020
318,214821024
321,214706460
321,214706432
321,214821028
321,214821028
321,214539262
321,214821030
322,214838456
322,214508942
323,214702702
323,214702704
326,214838503
327,214709312
327,214664895
327,214587296
327,214664895
328,214716947
328,214717010
328,214716975
328,214646308
329,214601233
329,214601233
329,214833800
329,214833802
331,214717528
331,214717528
331,214594605
332,214684513
332,214691267
332,214691332
334,214820240
334,214820240
336,214630042
336,214819502
337,214821020
337,214820842
337,214826897
337,214535621
337,214821285
337,214821373
337,214821022
338,214640477
338,214640477
339,214640477
339,214640477
341,214820441
342,214702740
342,214601441
342,214545967
343,214594678
343,214594680
344,214638480
344,214551570
344,214638480
346,214640237
346,214640237
347,214709792
347,214709792
348,214712237
348,214704180
349,214829737
349,214829737
349,214829737
349,214829737
349,214821309
351,214512656
351,214512658
351,214512658
351,214694332
352,214602315
352,214554785
352,214698592
352,214698590
352,214698455
352,214698592
353,214753515
353,214743369
353,214819721
353,214743495
353,214577450
353,214711657
353,214826872
353,214601233
353,214717890
354,214691347
354,214691452
356,214774685
357,214535705
357,214535705
358,214820383
358,214820383
358,214841640
358,214691390
359,214839313
359,214839313
361,214839373
361,214539262
362,214748285
362,214820218
363,214717007
363,214717007
363,214716945
363,214554358
363,214717003
364,214839812
364,214835422
364,214632367
364,214536367
364,214717003
366,214546719
366,214678365
368,214551285
368,214551287
368,214551285
369,214821013
369,214829282
371,214826801
371,214826700
371,214840378
372,214748336
372,214748336
372,214819719
373,214585100
373,214584808
373,214584808
373,214584808
373,214510738
374,214584920
374,214613743
374,214587384
374,214832557
374,214821017
374,214821017
374,214553936
376,214748336
376,214819721
376,214601233
376,214819385
376,214819378
377,214833800
377,214833800
378,214684513
378,214684513
379,214840378
379,214537037
381,214552498
381,214552625
381,214552625
383,214718203
384,214718203
384,214718203
384,214842352
384,214586983
384,214842347
386,214839795
386,214523700
386,214839791
386,214708018
386,214517450
386,214714927
386,214712750
386,214712752
386,214840526
387,214509084
387,214509084
388,214835120
388,214835120
389,214691484
389,214691396
389,214691321
389,214691426
389,214840822
391,214748291
391,214748304
392,214638480
